cloud_adoption,usage_frequency,training,integration,efficiency_improvement_percent
0,1,0,0,0.451535249257736
1,1,1,0,38.19311824918822
0,3,1,1,36.07930324094502
0,2,1,1,38.54497831594417
0,5,0,0,29.937465028503613
1,4,0,0,43.821021940009544
0,2,1,1,30.064757689770474
0,4,1,1,35.621506291663785
0,3,0,1,24.010185156493424
1,3,1,1,57.384140471620555
0,1,1,0,6.352099534954272
0,5,0,1,41.20856979826172
0,4,1,0,40.3352200087569
0,2,0,1,10.275303548146251
1,3,0,1,37.998922244932324
0,1,0,1,16.1483123211657
1,1,0,1,32.08709542182533
1,4,0,1,51.304532169158364
1,3,0,0,34.64162981721282
0,5,0,0,19.880907402554726
1,3,1,1,61.44203170089245
0,4,0,1,32.32258302621425
1,4,0,0,37.20129012635864
1,3,1,1,62.5251255733041
1,4,1,1,57.457970225531234
1,3,1,0,38.79079741647233
1,2,0,1,40.91755911543868
1,3,1,1,56.76578811611333
1,3,0,0,37.65958446109423
1,4,0,0,43.48175563326244
0,4,0,0,22.580623642888455
0,1,0,1,17.377468207245872
1,1,1,0,32.13123099845917
1,2,1,0,36.59627862714723
1,1,0,0,28.71182458129559
0,3,0,0,16.217282553499437
1,4,0,0,44.101228697431274
0,1,1,0,6.463614221862008
0,1,0,1,12.49606808791203
0,2,0,1,29.535094509552778
0,2,1,0,22.762665761737203
0,3,1,0,26.477752254895762
1,4,0,0,43.53962183484837
1,2,1,1,61.0422526293309
1,1,1,1,54.99024771143514
1,4,0,1,42.10239621343703
1,4,1,1,53.94749420465316
0,1,0,1,6.93294672224604
1,2,1,1,46.26446055529868
1,1,0,1,35.274596493261285
0,4,0,1,31.210075720338985
1,5,0,1,47.34760628406374
0,5,1,0,25.663240868154453
1,3,0,0,31.176043065222746
0,1,1,0,19.580856328023103
1,1,0,0,30.45181455846823
1,3,0,1,53.52912429668843
0,3,1,1,34.83834874537443
0,3,0,0,19.140767451950527
0,4,0,1,35.0494748052483
0,1,1,0,12.515704836636893
0,4,0,1,31.939224407652333
0,3,0,0,18.29352562854877
0,1,0,1,10.45421191457438
0,4,0,1,38.21048085553721
1,4,1,0,49.80593858639987
1,3,1,1,55.43517614073336
0,1,0,0,0.2632931002893777
1,3,1,0,41.10286902061233
1,1,0,0,14.017426995839955
1,5,1,0,55.27577938209306
1,2,0,1,52.52844604820986
0,2,0,1,14.906902759477564
1,2,0,1,54.88098464077486
0,3,0,0,22.07125631306207
1,5,0,1,52.63205609511446
1,1,0,0,25.136323524094394
1,4,1,1,59.32449846042531
0,1,0,1,23.53081986698856
1,4,1,1,62.5850786505898
0,1,0,0,10.909870243109072
1,5,1,1,66.79085922680675
0,4,1,1,39.440137397026916
1,3,1,0,46.63211682535357
0,1,0,1,12.965278830639594
0,1,0,0,0.0
1,4,1,1,64.06844287978325
0,3,0,0,7.494177758284566
1,3,1,0,43.65582911602412
1,5,0,1,52.800678561922915
1,3,1,0,48.216769655270355
1,3,1,0,52.82352292466764
1,3,0,0,41.024853236503745
1,2,1,0,43.362125094475466
1,5,0,0,41.85064177189609
1,1,1,0,34.08265423201768
1,4,1,1,58.35363146472091
1,1,0,0,22.64859276635278
1,5,0,0,42.98774445686581
0,4,0,1,27.854309824662046
0,5,1,1,42.63286903649752
1,3,0,1,49.75941509014277
1,4,1,1,54.72681555566954
1,3,1,1,51.35262948848085
1,1,0,1,27.08296639480244
1,1,0,1,42.07741401255424
1,4,1,0,46.01748520671207
1,4,1,0,53.303876158610706
1,5,0,1,57.37659430106153
0,5,0,0,31.594193105453854
1,3,0,0,33.94991650812453
0,4,0,0,15.262301063570439
1,1,0,1,27.22125012064186
1,5,1,1,51.0768217760895
0,5,1,0,35.80676612939451
1,1,1,1,48.87736286244457
0,5,1,0,37.3584405259892
1,3,0,0,27.35117848413596
1,4,0,0,45.194130725559646
0,1,0,0,1.508919858423238
1,4,1,1,55.46548252929123
0,5,1,1,41.39683882348408
